Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-07-19 00:00:00-04:00,124.79000091552734,125.47000122070312,122.47000122070312,122.77999877929688,22313800,0.0,0.0
2023-07-20 00:00:00-04:00,122.12000274658203,124.69999694824219,118.68499755859375,119.52999877929688,27541700,0.0,0.0
2023-07-21 00:00:00-04:00,120.87000274658203,121.30000305175781,119.06999969482422,120.30999755859375,56498100,0.0,0.0
2023-07-24 00:00:00-04:00,121.9260025024414,123.3499984741211,121.37999725341797,121.87999725341797,22276100,0.0,0.0
2023-07-25 00:00:00-04:00,121.87999725341797,123.69000244140625,121.52999877929688,122.79000091552734,31820800,0.0,0.0
2023-07-26 00:00:00-04:00,130.36000061035156,131.3699951171875,128.7100067138672,129.66000366210938,46216900,0.0,0.0
2023-07-27 00:00:00-04:00,131.8000030517578,133.60000610351562,129.17999267578125,129.8699951171875,35931600,0.0,0.0
2023-07-28 00:00:00-04:00,130.97000122070312,134.07000732421875,130.9199981689453,133.00999450683594,26971000,0.0,0.0
2023-07-31 00:00:00-04:00,133.00999450683594,133.8300018310547,132.1300048828125,133.11000061035156,18381900,0.0,0.0
2023-08-01 00:00:00-04:00,130.85499572753906,132.9199981689453,130.75,131.88999938964844,22154300,0.0,0.0
2023-08-02 00:00:00-04:00,129.83999633789062,130.4199981689453,127.8499984741211,128.63999938964844,22705800,0.0,0.0
2023-08-03 00:00:00-04:00,128.3699951171875,129.77000427246094,127.7750015258789,128.77000427246094,15018100,0.0,0.0
2023-08-04 00:00:00-04:00,129.60000610351562,131.92999267578125,128.31500244140625,128.5399932861328,20509500,0.0,0.0
2023-08-07 00:00:00-04:00,129.50999450683594,132.05999755859375,129.42999267578125,131.94000244140625,17621000,0.0,0.0
2023-08-08 00:00:00-04:00,130.97999572753906,131.94000244140625,130.1300048828125,131.83999633789062,16836000,0.0,0.0
2023-08-09 00:00:00-04:00,132.19000244140625,132.47000122070312,129.5050048828125,130.14999389648438,17745200,0.0,0.0
2023-08-10 00:00:00-04:00,131.97000122070312,132.64700317382812,130.03500366210938,130.2100067138672,17855700,0.0,0.0
2023-08-11 00:00:00-04:00,129.20199584960938,130.44000244140625,128.75,130.1699981689453,15191500,0.0,0.0
2023-08-14 00:00:00-04:00,129.85000610351562,131.91000366210938,129.58999633789062,131.8300018310547,17526200,0.0,0.0
2023-08-15 00:00:00-04:00,131.58999633789062,131.99000549316406,129.81900024414062,130.27000427246094,14769200,0.0,0.0
2023-08-16 00:00:00-04:00,129.27999877929688,130.8979949951172,128.4600067138672,129.11000061035156,17548400,0.0,0.0
2023-08-17 00:00:00-04:00,130.4499969482422,132.49099731445312,129.85000610351562,130.4600067138672,23665600,0.0,0.0
2023-08-18 00:00:00-04:00,129.05999755859375,129.8300018310547,127.0,128.11000061035156,23619400,0.0,0.0
